year,met.data,obs,PLS.mean,PLS.sd,change.overall.mean,change.overall.sd,change.climate.mean,change.climate.sd,change.LULC.mean,change.LULC.sd,change.overall.min,change.overall.max,change.climate.min,change.climate.max,change.LULC.min,change.LULC.max
1999,GHCN,112.943341494571,91.7550324839854,3.19103783921935,24.0176197711166,0,2.82931076053111,3.19103783921935,21.1883090105855,3.19103783921935,24.0176197711166,24.0176197711166,-0.361727078688237,6.02034859975046,17.9972711713662,24.3793468498049
1999,grid,112.943341494571,74.9394543063617,4.83451875882583,27.7359059853572,0,-10.267981202852,4.83451875882583,38.0038871882093,4.83451875882583,27.7359059853572,27.7359059853572,-15.1024999616779,-5.4334624440262,33.1693684293834,42.8384059470351
2000,GHCN,161.200674511777,117.258739799139,4.58500405669324,72.274952788323,0,28.3330180756847,4.58500405669324,43.9419347126383,4.58500405669324,72.274952788323,72.274952788323,23.7480140189915,32.918022132378,39.3569306559451,48.5269387693316
2000,grid,161.200674511777,78.4312301417413,4.04000341497174,75.9932390025636,0,-6.77620536747242,4.04000341497175,82.7694443700361,4.04000341497174,75.9932390025636,75.9932390025636,-10.8162087824442,-2.73620195250067,78.7294409550643,86.8094477850078
2001,GHCN,152.80520932123,141.729132186849,3.80342922462246,63.8794875977759,0,52.8034104633951,3.80342922462246,11.0760771343808,3.80342922462246,63.8794875977759,63.8794875977759,48.9999812387726,56.6068396880176,7.27264790975837,14.8795063590033
2001,grid,152.80520932123,111.386664218923,6.48029856298489,67.5977738120165,0,26.1792287097093,6.48029856298489,41.4185451023072,6.48029856298489,67.5977738120165,67.5977738120165,19.6989301467244,32.6595272726941,34.9382465393224,47.8988436652921
2002,GHCN,88.8215882478178,82.8194982662962,2.85896284373358,-0.104133475636559,0,-6.10622345715815,2.85896284373358,6.00208998152159,2.85896284373358,-0.104133475636559,-0.104133475636559,-8.96518630089173,-3.24726061342457,3.14312713778801,8.86105282525517
2002,grid,88.8215882478178,89.2400328021985,5.42750825939842,3.61415273860403,0,4.03259729298474,5.42750825939842,-0.418444554380704,5.42750825939842,3.61415273860403,3.61415273860403,-1.39491096641369,9.46010555238316,-5.84595281377913,5.00906370501772
2003,GHCN,95.9898111947665,69.3966943085396,3.22158204810188,7.06408947131216,0,-19.5290274149147,3.22158204810188,26.5931168862269,3.22158204810188,7.06408947131216,7.06408947131216,-22.7506094630166,-16.3074453668129,23.371534838125,29.8146989343288
2003,grid,95.9898111947665,115.708828516903,7.26161628112922,10.7823756855528,0,30.5013930076888,7.26161628112922,-19.7190173221361,7.26161628112922,10.7823756855528,10.7823756855528,23.2397767265596,37.763009288818,-26.9806336032653,-12.4574010410069
2004,GHCN,139.136861052509,123.080287607164,4.82185068067489,50.211139329055,0,34.1545658837093,4.82185068067489,16.0565734453457,4.82185068067489,50.211139329055,50.211139329055,29.3327152030344,38.9764165643842,11.2347227646708,20.8784241260206
2004,grid,139.136861052509,112.571670327605,4.89669438279913,53.9294255432956,0,27.3642348183908,4.89669438279913,26.5651907249047,4.89669438279913,53.9294255432956,53.9294255432956,22.4675404355917,32.26092920119,21.6684963421056,31.4618851077038
2005,GHCN,100.914818936652,66.9082953800985,3.49829149650431,11.9890972131977,0,-22.0174263433558,3.49829149650431,34.0065235565535,3.49829149650431,11.9890972131977,11.9890972131977,-25.5157178398601,-18.5191348468515,30.5082320600492,37.5048150530578
2005,grid,100.914818936652,88.09529075844,5.53936354694263,15.7073834274383,0,2.88785524922627,5.53936354694263,12.8195281782121,5.53936354694263,15.7073834274383,15.7073834274383,-2.65150829771636,8.4272187961689,7.28016463126943,18.3588917251547
