STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,ACMH,ACSH,PSUN,TSUN,TAVG,TMAX,TMIN,AWND
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400112,0.00,2.0,0.0,-9999,-9999,-9999,-9999,-9999,29,6,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400113,0.19,3.0,1.0,-9999,-9999,-9999,-9999,-9999,32,9,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400114,0.50,10.0,7.3,-9999,-9999,-9999,-9999,-9999,32,20,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400115,0.00,10.0,0.1,-9999,-9999,-9999,-9999,-9999,20,0,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400116,0.01,10.0,0.1,-9999,-9999,-9999,-9999,-9999,1,-5,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400117,0.02,10.0,0.2,-9999,-9999,-9999,-9999,-9999,4,-15,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400118,0.00,10.0,0.0,-9999,-9999,-9999,-9999,-9999,-10,-23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400119,0.00,10.0,0.0,-9999,-9999,-9999,-9999,-9999,13,-17,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400120,0.00,9.0,0.0,-9999,-9999,-9999,-9999,-9999,14,2,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400121,0.00,9.0,0.0,-9999,-9999,-9999,-9999,-9999,20,4,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400122,0.00,8.0,0.0,-9999,-9999,-9999,-9999,-9999,21,-5,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400123,0.00,8.0,0.0,-9999,-9999,-9999,-9999,-9999,22,-11,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400124,0.00,8.0,0.0,-9999,-9999,-9999,-9999,-9999,14,2,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400125,0.00,8.0,0.0,-9999,-9999,-9999,-9999,-9999,6,-9,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400126,0.00,7.0,0.0,-9999,-9999,-9999,-9999,-9999,13,-9,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400127,0.00,7.0,0.0,-9999,-9999,-9999,-9999,-9999,19,-5,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400128,0.00,6.0,0.0,-9999,-9999,-9999,-9999,-9999,22,-14,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400129,0.00,6.0,0.0,-9999,-9999,-9999,-9999,-9999,27,15,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400130,0.00,6.0,0.1,-9999,-9999,-9999,-9999,-9999,29,23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400131,0.00,6.0,0.0,-9999,-9999,-9999,-9999,-9999,29,23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400201,0.00,5.0,0.0,-9999,-9999,-9999,-9999,-9999,32,12,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400202,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,29,6,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400203,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,36,-7,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400204,0.11,5.0,0.9,-9999,-9999,-9999,-9999,-9999,32,23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400205,0.00,5.0,0.0,-9999,-9999,-9999,-9999,-9999,34,25,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400206,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,29,23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400207,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,34,14,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400208,0.08,5.0,0.8,-9999,-9999,-9999,-9999,-9999,24,13,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400209,0.00,5.0,0.0,-9999,-9999,-9999,-9999,-9999,22,2,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400210,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,26,-8,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400211,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,36,9,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400212,0.00,3.0,0.0,-9999,-9999,-9999,-9999,-9999,36,25,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400213,0.00,3.0,0.0,-9999,-9999,-9999,-9999,-9999,26,8,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400214,0.00,3.0,0.0,-9999,-9999,-9999,-9999,-9999,33,11,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400215,0.00,7.0,0.0,-9999,-9999,-9999,-9999,-9999,36,16,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400216,0.00,7.0,0.0,-9999,-9999,-9999,-9999,-9999,36,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400217,0.00,6.0,0.0,-9999,-9999,-9999,-9999,-9999,43,28,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400218,0.01,5.0,0.0,-9999,-9999,-9999,-9999,-9999,37,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400219,0.08,5.0,0.6,-9999,-9999,-9999,-9999,-9999,33,30,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400220,0.00,5.0,0.2,-9999,-9999,-9999,-9999,-9999,31,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400221,0.01,5.0,0.0,-9999,-9999,-9999,-9999,-9999,36,24,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400222,0.00,5.0,0.0,-9999,-9999,-9999,-9999,-9999,27,10,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400223,0.43,9.0,4.2,-9999,-9999,-9999,-9999,-9999,22,12,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400224,0.00,10.0,1.5,-9999,-9999,-9999,-9999,-9999,19,-6,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400225,0.00,9.0,0.0,-9999,-9999,-9999,-9999,-9999,20,-16,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400226,0.03,9.0,0.2,-9999,-9999,-9999,-9999,-9999,30,7,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400227,0.01,7.0,0.0,-9999,-9999,-9999,-9999,-9999,36,26,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400228,0.00,6.0,0.0,-9999,-9999,-9999,-9999,-9999,33,22,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400229,0.00,6.0,0.0,-9999,-9999,-9999,-9999,-9999,33,20,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400301,0.00,5.0,0.0,-9999,-9999,-9999,-9999,-9999,33,29,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400302,0.03,5.0,0.0,-9999,-9999,-9999,-9999,-9999,35,27,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400303,0.01,5.0,0.0,-9999,-9999,-9999,-9999,-9999,35,26,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400304,0.00,5.0,0.0,-9999,-9999,-9999,-9999,-9999,31,23,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400305,0.00,5.0,0.0,-9999,-9999,-9999,-9999,-9999,33,24,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400306,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,35,14,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400307,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,33,14,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400308,0.00,4.0,0.0,-9999,-9999,-9999,-9999,-9999,34,16,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400309,0.00,3.0,0.0,-9999,-9999,-9999,-9999,-9999,35,17,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400310,0.00,3.0,0.0,-9999,-9999,-9999,-9999,-9999,28,14,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400311,0.00,2.0,0.0,-9999,-9999,-9999,-9999,-9999,28,10,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400312,0.00,2.0,0.0,-9999,-9999,-9999,-9999,-9999,26,21,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400313,0.48,3.0,1.1,-9999,-9999,-9999,-9999,-9999,30,19,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400314,0.02,4.0,0.3,-9999,-9999,-9999,-9999,-9999,25,15,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400315,0.00,3.0,0.0,-9999,-9999,-9999,-9999,-9999,29,17,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400316,0.00,3.0,0.0,-9999,-9999,-9999,-9999,-9999,38,15,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400317,0.00,2.0,0.0,-9999,-9999,-9999,-9999,-9999,43,32,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400318,0.02,1.0,0.2,-9999,-9999,-9999,-9999,-9999,43,31,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400319,0.12,0.0,0.0,-9999,-9999,-9999,-9999,-9999,43,28,-9999
