"year","month","discharge.mm"
2016,3,18.5551948051948
2016,4,10.2482193663267
2016,5,9.54583196237444
2016,6,14.103054173844
2016,7,36.6181653666751
2016,8,14.108584783324
2016,9,27.2769659550584
2016,10,24.3899878065303
2016,11,10.4473213076045
2016,12,9.66197476145315
