date,DToPcpn,DAvSol,DAvTAir,DMxTAir,DMnTAir,DAvRHum,DAvWind
1985-07-06,0.0,269.8,20.86,27.59,14.46,85.42,2.23
1985-07-07,0.0,284.0,23.86,31.07,16.24,75.84,3.48
1985-07-08,0.0,245.3,25.17,31.7,17.54,81.27,3.24
1985-07-09,0.0,253.5,23.49,32.02,14.51,77.38,1.51
1985-07-10,0.0,328.1,20.23,25.89,14.63,66.0,3.1
1985-07-11,0.0,270.9,20.79,28.44,14.17,80.41,1.53
1985-07-12,0.0,276.3,21.23,29.25,12.07,82.52,1.64
1985-07-13,0.17,193.7,24.23,30.58,16.63,88.87,2.99
1985-07-14,0.0,302.3,25.23,32.67,19.51,80.83,1.99
1985-07-15,0.0,325.0,20.32,25.73,13.42,70.27,3.41
1985-07-16,0.0,330.8,19.39,27.7,9.42,70.68,1.56
1985-07-17,0.0,297.2,20.24,27.81,11.7,77.07,2.27
1985-07-18,0.0,263.0,22.91,29.91,15.22,75.74,3.46
1985-07-19,0.0,179.6,23.48,29.85,14.46,89.22,2.68
1985-07-20,0.0,266.4,20.92,29.02,12.4,75.77,1.9
1985-07-21,0.0,321.5,21.61,30.15,11.7,70.52,2.94
1985-07-22,0.0,332.9,17.78,26.16,8.9,62.63,1.97
1985-07-23,0.0,321.3,18.02,26.26,6.62,67.75,2.23
1985-07-24,0.71,218.4,22.1,29.79,11.83,84.26,4.17
1985-07-25,4.92,129.1,21.94,27.87,15.18,91.35,2.11
1985-07-26,0.0,288.2,20.55,27.47,13.84,79.76,1.77
1985-07-27,0.0,276.4,21.46,28.27,13.18,84.31,1.97
1985-07-28,0.0,282.1,22.38,27.75,16.46,84.2,2.42
1985-07-29,0.0,303.0,21.77,27.42,16.46,78.3,2.17
1985-07-30,0.21,70.4,16.78,19.24,14.71,94.92,3.04
1985-07-31,0.25,105.7,16.14,19.69,10.37,91.38,3.8
1985-08-01,0.0,317.8,17.81,25.62,10.05,77.94,2.23
1985-08-02,0.0,272.3,18.16,26.37,9.06,78.67,1.52
1985-08-03,0.0,303.7,19.06,26.7,11.54,78.69,1.57
1985-08-04,0.0,93.0,17.92,22.18,10.66,93.21,2.47
1985-08-05,0.04,193.0,23.52,29.02,19.65,89.83,3.24
1985-08-06,0.08,279.7,22.86,29.43,15.86,84.65,2.24
1985-08-07,0.0,304.2,21.57,27.81,13.8,78.25,2.67
1985-08-08,0.0,246.7,21.1,28.44,12.52,75.76,1.87
1985-08-09,0.17,276.8,23.18,29.61,14.3,85.37,3.48
1985-08-10,0.13,287.7,18.83,23.66,11.58,86.01,3.52
1985-08-11,0.0,255.3,17.6,24.89,10.49,84.72,1.91
1985-08-12,1.29,182.0,21.42,28.61,13.51,89.75,4.56
1985-08-13,0.0,280.8,22.43,27.98,18.12,81.69,2.34
1985-08-14,0.0,164.4,20.2,26.43,16.11,84.52,1.54
1985-08-15,0.0,281.0,18.65,25.84,11.22,76.63,1.57
1985-08-16,0.0,281.7,18.53,25.73,10.37,75.05,1.6
1985-08-17,0.17,186.2,20.87,27.92,13.05,91.06,2.45
1985-08-18,0.0,290.8,16.9,22.18,8.62,75.03,3.53
1985-08-19,0.0,216.7,14.2,20.01,7.71,84.06,2.88
1985-08-20,0.0,116.4,14.21,17.46,11.7,86.6,1.34
1985-08-21,0.0,229.4,16.03,22.57,7.28,80.64,1.14
1985-08-22,0.0,156.9,17.39,22.04,10.82,85.06,2.24
1985-08-23,0.0,124.6,18.75,23.51,13.67,92.25,2.25
1985-08-24,0.83,118.7,17.86,22.77,15.69,93.48,2.49
1985-08-25,0.75,105.9,17.99,22.77,15.94,94.2,3.83
1985-08-26,0.0,172.2,18.62,24.37,12.97,90.42,2.41
1985-08-27,0.0,235.8,19.18,25.52,12.48,88.03,1.98
1985-08-28,0.04,148.6,20.29,25.52,14.63,90.04,1.54
1985-08-29,0.25,64.58,20.08,21.51,18.7,93.87,1.76
1985-08-30,0.0,91.9,18.09,21.09,12.36,93.45,2.21
1985-08-31,0.0,236.9,18.36,25.2,9.61,85.01,2.96
1985-09-01,0.0,102.2,19.93,26.26,11.99,90.3,2.11
1985-09-02,0.0,186.3,20.17,25.73,12.56,90.08,3.51
